weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,hyperparameter_setting_id,kFold_id,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp,Train full precision,Train pre minmaxQ,Train pre quantileQ,Train SoftQ,Train Bitwise softQ,train_loss_hard_bitwise_minmax_mlp,train_loss_hard_bitwise_quantile_mlp,bits,dataset,Full precision_avg,Post minmaxQ_avg,Post quantileQ_avg,Pre minmaxQ_avg,Pre quantileQ_avg,SoftQ_avg,HardQ_avg,Bitwise softQ_avg,Bitwise hardQ_avg,Full precision_min,Post minmaxQ_min,Post quantileQ_min,Pre minmaxQ_min,Pre quantileQ_min,SoftQ_min,HardQ_min,Bitwise softQ_min,Bitwise hardQ_min,Full precision_avg_by_hyperparam,Post minmaxQ_avg_by_hyperparam,Post quantileQ_avg_by_hyperparam,Pre minmaxQ_avg_by_hyperparam,Pre quantileQ_avg_by_hyperparam,SoftQ_avg_by_hyperparam,HardQ_avg_by_hyperparam,Bitwise softQ_avg_by_hyperparam,Bitwise hardQ_avg_by_hyperparam,Full precision_min_by_hyperparam,Post minmaxQ_min_by_hyperparam,Post quantileQ_min_by_hyperparam,Pre minmaxQ_min_by_hyperparam,Pre quantileQ_min_by_hyperparam,SoftQ_min_by_hyperparam,HardQ_min_by_hyperparam,Bitwise softQ_min_by_hyperparam,Bitwise hardQ_min_by_hyperparam
0.0001,0.0001,8,128,70,0.0001,10,2,,,,,0.0050639490997255,,,,,,,,,0.0042252079652184,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,3,,,,,0.0048603469264905,,,,,,,,,0.0040458972456262,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,4,,,,,0.0112151894514171,,,,,,,,,0.0039804283319515,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,5,,,,,0.0048656370368246,,,,,,,,,0.0041506768249924,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,6,,,,,0.0060427464287433,,,,,,,,,0.0041730740785543,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,7,,,,,0.0046697932891874,,,,,,,,,0.0040809916132631,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,8,,,,,0.0051175874367911,,,,,,,,,0.0041983573944033,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,9,,,,,0.0063376253625998,,,,,,,,,0.0042025366588039,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.001,6,4096,30,0.001,11,0,,,,,0.0187132656165774,,,,,,,,,0.0092060561990365,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,1,,,,,0.0090434067563987,,,,,,,,,0.0097959376652451,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,2,,,,,0.0123944456582856,,,,,,,,,0.0099084899308817,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,3,,,,,0.021578345165931,,,,,,,,,0.0107717733779995,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,4,,,,,0.0086607213393507,,,,,,,,,0.0102914743604795,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,5,,,,,0.0151608518177741,,,,,,,,,0.0106011748975873,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,6,,,,,0.0136295584144822,,,,,,,,,0.0098302193401454,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,7,,,,,0.0151870957935196,,,,,,,,,0.0102376490292668,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,8,,,,,0.038186913192795,,,,,,,,,0.0090225900902285,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,4096,30,0.001,11,9,,,,,0.0089949200117731,,,,,,,,,0.0092195222359698,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.01615495237668874,,,,,,,,,0.0086607213393507,,,,
0.0001,0.001,6,8192,70,0.0001,12,0,,,,,0.0099352801896697,,,,,,,,,0.0124663360439715,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,1,,,,,0.0130596850149072,,,,,,,,,0.01022273622928,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,2,,,,,19.094435390673187,,,,,,,,,669.0211699724198,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,3,,,,,0.0107818266719971,,,,,,,,,0.0080929907650558,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,4,,,,,0.0154975367987757,,,,,,,,,0.0118193699905247,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,5,,,,,0.0202467475380552,,,,,,,,,0.0093256277726123,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,6,,,,,0.0704677528456637,,,,,,,,,0.0169576416805605,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,7,,,,,0.0151993876993002,,,,,,,,,0.008371050866759,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,8,,,,,0.038786681368947,,,,,,,,,0.010033067028659,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0001,0.001,6,8192,70,0.0001,12,9,,,,,0.0102776863179251,,,,,,,,,0.0085426593021325,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,1.929868797511843,,,,,,,,,0.0099352801896697,,,,
0.0,0.0001,6,8192,50,0.0001,13,0,,,,,0.0063378672062403,,,,,,,,,0.0033092460807358,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.0058036258914956704,,,,,,,,,0.004854615013883,,,,
0.0,0.0001,6,8192,50,0.0001,13,1,,,,,0.0054297302870014,,,,,,,,,0.0039954102089099,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.0058036258914956704,,,,,,,,,0.004854615013883,,,,
0.0,0.0001,6,8192,50,0.0001,13,2,,,,,0.0068076226876623,,,,,,,,,0.0039133048730482,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.0058036258914956704,,,,,,,,,0.004854615013883,,,,
0.0,0.0001,6,8192,50,0.0001,13,3,,,,,0.004854615013883,,,,,,,,,0.0037603948075853,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.0058036258914956704,,,,,,,,,0.004854615013883,,,,
0.0,0.0001,6,8192,50,0.0001,13,4,,,,,0.0055039769259134,,,,,,,,,0.0036396368547096,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.0058036258914956704,,,,,,,,,0.004854615013883,,,,
