dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
fried,19,5,0.0,0.0001,8,64,30,0.001,Bw-QQ,0.0463324498268775
fried,46,5,0.0001,0.001,6,256,70,0.001,SQ,0.0484591005166293
fried,43,5,0.0001,0.0001,6,64,30,0.001,Bw-SQ,0.0456746354466303
fried,0,6,0.0001,0.0001,6,8192,50,0.0001,FP,0.0447169839724665
fried,0,6,0.0001,0.0001,6,8192,50,0.0001,Po-MQ,0.0451704934675944
fried,0,6,0.0001,0.0001,6,8192,50,0.0001,Po-QQ,0.045136828511022
fried,14,6,0.0001,0.0001,5,8192,50,0.0001,Pr-MQ,0.0453779081726679
fried,28,6,0.0,0.001,5,64,50,0.001,Pr-QQ,0.0463084918563253
fried,42,6,0.0,0.001,6,64,30,0.001,Bw-MQ,0.0471446881711016
fried,42,6,0.0,0.001,6,64,30,0.001,Bw-QQ,0.0470773491484578
fried,28,6,0.0,0.001,5,64,50,0.001,SQ,0.0455396151024614
fried,15,6,0.0001,0.0001,5,64,30,0.0001,Bw-SQ,0.0448070415819528
fried,4,7,0.0001,0.001,6,64,70,0.001,FP,0.0436313176265684
fried,4,7,0.0001,0.001,6,64,70,0.001,Po-MQ,0.0437520693347323
fried,4,7,0.0001,0.001,6,64,70,0.001,Po-QQ,0.0437780944572295
fried,2,7,0.0001,0.0001,6,64,50,0.0001,Pr-MQ,0.0442941155139123
fried,16,7,0.0001,0.001,5,128,70,0.001,Pr-QQ,0.0465598639857489
fried,17,7,0.0,0.0001,10,128,30,0.0001,Bw-MQ,0.0447675495408474
fried,12,7,0.0,0.0001,6,64,50,0.0001,Bw-QQ,0.0452243998763151
fried,43,7,0.0,0.001,10,1024,50,0.001,SQ,0.0470665828819619
fried,48,7,0.0001,0.0001,8,64,70,0.001,Bw-SQ,0.04403365321632
fried,41,8,0.0001,0.001,6,64,30,0.0001,FP,0.044036531652091
fried,41,8,0.0001,0.001,6,64,30,0.0001,Po-MQ,0.0440705631976015
fried,41,8,0.0001,0.001,6,64,30,0.0001,Po-QQ,0.0440557036781682
fried,4,8,0.0001,0.0001,6,64,70,0.001,Pr-MQ,0.0435146192961837
fried,36,8,0.0001,0.001,6,256,70,0.0001,Pr-QQ,0.0466038246959214
fried,21,8,0.0,0.0001,6,64,50,0.001,Bw-MQ,0.0444723953638458
fried,21,8,0.0,0.0001,6,64,50,0.001,Bw-QQ,0.0446554595167981
fried,25,8,0.0,0.001,5,128,70,0.0001,SQ,0.0451381894468795
fried,21,8,0.0,0.0001,6,64,50,0.001,Bw-SQ,0.0439926363411358
sulfur,20,2,0.0001,0.0001,5,1024,50,0.001,FP,0.1036138669471256
sulfur,43,2,0.0001,0.001,10,4096,30,0.0001,Po-MQ,4.367583141941577
sulfur,23,2,0.0,0.0001,8,128,50,0.001,Po-QQ,0.7919047969393432
sulfur,33,2,0.0,0.0001,5,128,50,0.0001,Pr-MQ,0.6545264380518347
sulfur,3,2,0.0001,0.0001,10,512,30,0.001,Pr-QQ,0.5623693683417514
sulfur,20,2,0.0001,0.0001,5,1024,50,0.001,Bw-MQ,0.5796220493502915
sulfur,18,2,0.0,0.0001,6,4096,70,0.001,Bw-QQ,0.5694056938169524
sulfur,34,2,0.0001,0.001,5,512,50,0.001,SQ,0.3037899730727076
sulfur,24,2,0.0001,0.001,6,64,70,0.001,Bw-SQ,0.3337817688472569
sulfur,2,3,0.0,0.0001,5,512,70,0.001,FP,0.0959648859570733
sulfur,26,3,0.0,0.001,10,256,50,0.0001,Po-MQ,0.6573658522218466
sulfur,29,3,0.0,0.0001,8,4096,70,0.0001,Po-QQ,0.6859365532989614
sulfur,12,3,0.0,0.0001,8,256,50,0.0001,Pr-MQ,0.2920106074772775
